trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
253,False,"{'a': 0.75, 'e': 0.07865099717364833}",25,13,19.99695016477114,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.75, 'e': 0.07786448720191184}",20,16,7.693579443002738,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.75, 'e': 0.07708584232989273}",25,11,26.983574836579518,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.75, 'e': 0.0763149839065938}",20,15,9.683621004672352,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.75, 'e': 0.07555183406752786}",20,0,24.929127777819826,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.75, 'e': 0.07479631572685258}",20,16,8.339624301359839,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.75, 'e': 0.07404835256958406}",35,25,16.96424178097031,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.75, 'e': 0.07330786904388821}",20,14,12.023205835454114,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.75, 'e': 0.07257479035344933}",30,18,20.1166754969385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.75, 'e': 0.07184904244991483}",25,17,16.088134090833886,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.75, 'e': 0.07113055202541568}",25,16,4.208610873659094,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
264,False,"{'a': 0.75, 'e': 0.07041924650516153}",25,19,11.445395590466244,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.75, 'e': 0.06971505404010991}",20,15,-1.2047924156671428,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
266,False,"{'a': 0.75, 'e': 0.06901790349970881}",20,16,9.411123998326875,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.75, 'e': 0.06832772446471172}",30,13,33.64292027912809,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.75, 'e': 0.0676444472200646}",20,2,32.210783226860364,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.75, 'e': 0.06696800274786396}",30,18,25.583831040651095,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.75, 'e': 0.06629832272038531}",30,14,13.736539140122112,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
271,False,"{'a': 0.75, 'e': 0.06563533949318147}",20,10,14.63790456025595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.75, 'e': 0.06497898609824965}",20,7,25.91897796485619,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.75, 'e': 0.06432919623726716}",25,13,26.049668516825555,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.75, 'e': 0.06368590427489448}",20,12,16.64474490502182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
275,False,"{'a': 0.75, 'e': 0.06304904523214554}",25,15,15.068546020378372,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.75, 'e': 0.06241855477982408}",20,11,3.6081477946398786,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.75, 'e': 0.06179436923202584}",25,11,12.497910752739404,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
278,False,"{'a': 0.75, 'e': 0.06117642553970558}",35,18,28.780803518036336,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.75, 'e': 0.06056466128430853}",20,16,9.820213699093415,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.75, 'e': 0.05995901467146544}",20,13,14.295987427758334,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.75, 'e': 0.059359424524750785}",20,5,27.7053974638789,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
